Date,Text
2025-02-22 18:46:21+00:00,"🚀#СRYPТO PUMP  Notice⤵️
📈https://t.co/npheIJUWhY📈

⚠️Dont miss out

dgOawh9o @OvieUwhen @EmmaMey24 @ElvisCamargo567 @cough_corner @naresimo @pyrmofficial @dev_fernandes @frejubosif @tecoforia @MichelAlexsand7"
2025-02-22 18:45:44+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:45:32+00:00,love making you cough up money while I relax in bed ! https://t.co/hUW2kpQWPd
2025-02-22 18:45:31+00:00,RT @RugbyRecitation: *cough* Ben Spencer’s better *cough cough cough*
2025-02-22 18:45:13+00:00,"@hubermanlab Dr Suzanne Humphries has done extensive research on whooping cough, after treating ped patients for 20+ yrs.
@stopvaccinating"
2025-02-22 18:45:09+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:45:03+00:00,*cough Foggy *cough https://t.co/4CLyEjZH1q https://t.co/rzUvvtzDAQ
2025-02-22 18:44:57+00:00,"Of course I know it's just one big coincidence *cough*Paolini last year too*cough* but you bet your ass I'm gonna savor the big career defining victories of the friends of Dasha's vlog like a Big Kahuna burger eaten upside down, MMM! 😌 https://t.co/5LiGlUkKms"
2025-02-22 18:44:42+00:00,"RT @LiquoriceHQ: 🚨 New Intent Dashboard Alert!

We’ve built a Dune dashboard to track all core intent systems:

📊 Volumes

⚡ Top solvers

🔗…"
2025-02-22 18:44:33+00:00,"RT @FMLimsotried: Okay *cough* let me complete the list - ment 3 included short ver (1-2 mins) of these;

- LMF (after they just sang it 😂)…"
2025-02-22 18:44:31+00:00,"RT @FemiOla63: @Preciouspaa @yabaleftonline U poor spoilt brat swimming in poverty.  U think u have an opinion 😂. 
Better go see dat boy b4…"
2025-02-22 18:44:30+00:00,RT @1KeN_gaza: Pesa kidogo bois ashaanza kuita kunyamba ati anal cough😂💔
2025-02-22 18:44:24+00:00,"RT @FMLimsotried: Okay *cough* let me complete the list - ment 3 included short ver (1-2 mins) of these;

- LMF (after they just sang it 😂)…"
2025-02-22 18:44:21+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:44:07+00:00,"@BernieSanders Lol how much y’all paying them? 

Oh and it’s probably with our money too right? Ya know seems like that’s all y’all know how to do…

Cough Kamala rallies cough cough!"
2025-02-22 18:44:03+00:00,"RT @cooltechtipz: Try this remedy if you have breathing issues, cough and bad throat 

🎥NutritionTipzzz
https://t.co/C7xdZIpBcq"
2025-02-22 18:44:03+00:00,"RT @EfthaliaCare: BITTER KOLA: GOD'S GIFT TO MAN

""If you eat poison, just take bitter kola and palm oil.""

""That my cough that refused to…"
2025-02-22 18:43:58+00:00,"RT @manifestingdiva: The best indicator on meme coins is an insanely delusional community

*Cough*

$UFD"
2025-02-22 18:43:48+00:00,@elonmusk 😂🤮 from the guy with government subsidies so far up his ass that he cough dollars
2025-02-22 18:43:41+00:00,go follow or u will begin to cough in 7 days. https://t.co/1tBsH4QOnK
2025-02-22 18:43:40+00:00,RT @lenaalovessyouu: that pen cough sum different
2025-02-22 18:43:36+00:00,@Oluwajimmi__14 Cough cough cough https://t.co/6s6jfXRqN2
2025-02-22 18:43:31+00:00,"@RealAlexJones I don’t care if it combines with HIV, monkeypox, the rhinovirus, and whooping cough; I will not comply with any oppression this time around."
2025-02-22 18:43:16+00:00,RT @ShamasWan1: If Wizkid cough it’ll enter number 1 and Fc go stream coughing because e go sweeter than those artistes with ghost writers…
2025-02-22 18:43:04+00:00,"RT @WG_RumblePants: I agree with Simon. I wish there was a really good, proven, experienced county spinner out there who could slot right i…"
2025-02-22 18:43:01+00:00,"@seanonolennon Anecdotal, but I am rarely sick and always short-lived.  Upper respiratory infection started at Thanksgiving 2024, viral pneumonia, wicked cough, weak AF through January 8th.  Doctors say, ""yeah, you are not alone"""
2025-02-22 18:42:50+00:00,@lukesplaceinme NO SAME. my sister is sick too. last week 14 people from my class were sick. i barely healed before my gracie show and i still cough a lot
2025-02-22 18:42:39+00:00,"RT @cooltechtipz: Try this remedy if you have breathing issues, cough and bad throat 

🎥NutritionTipzzz
https://t.co/C7xdZIpBcq"
2025-02-22 18:41:59+00:00,"@ceoofstat @DarkHumor04 @n4micanfly The series is ultimately about finding hope in despair, the bonds between friends, and breaking fate. Due to the nature of the world, SA does come up but it's never used for shock like a certain other gory series (*cough* chainsaw man *cough*)"
2025-02-22 18:41:56+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:41:52+00:00,"RT @cooltechtipz: Try this remedy if you have breathing issues, cough and bad throat 

🎥NutritionTipzzz
https://t.co/C7xdZIpBcq"
2025-02-22 18:41:46+00:00,Fever. Cough. Back pain. Headache. Ankle joint fucked. Flu.
2025-02-22 18:41:41+00:00,RT @lenaalovessyouu: that pen cough sum different
2025-02-22 18:41:38+00:00,cough cough i'm sick https://t.co/4b8p2lBfan
2025-02-22 18:41:32+00:00,RT @Halimaprinces: So my 3yr old son has been sick . Leo akawa ako na a persistent cough and nikaenda naye to some pharmacy to get him some…
2025-02-22 18:41:31+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:41:30+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:41:27+00:00,"@GSGB01 If I were a Londoner, I'd do what the Muslims do and vote 10 times for him. If he's elected, perhaps, he could make a few calls to his mates and REALLY sort out the (cough) peace loving newcomers."
2025-02-22 18:41:26+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:41:22+00:00,"Just finished recording the video and im already having a mental breakdown hoping that it wont be horrible 😅 (now i just gotta edit every awkward stutter, unintelligible sound and cough out so the only horrible thing is my voice xd) https://t.co/naAvR6zd7h"
2025-02-22 18:41:21+00:00,"RT @lm_ling02: *cough
Bunny suit https://t.co/DRjZZXABAJ"
2025-02-22 18:41:13+00:00,@ivankatrumpo Shut up Whooping cough
2025-02-22 18:41:12+00:00,RT @MAHAdoctor1: Hell yes! Cough cough Elizabeth Warren!
2025-02-22 18:41:09+00:00,"RT @harutokid: op asked haruto to teach her korean, then she asked what the korean word for ""cool"" is, haruto answered, ""멋있다!"" and op said…"
2025-02-22 18:40:59+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:40:52+00:00,"RT @cooltechtipz: Try this remedy if you have breathing issues, cough and bad throat 

🎥NutritionTipzzz
https://t.co/C7xdZIpBcq"
2025-02-22 18:40:52+00:00,"[real life story 🧵]

I had a crush on my … cough, skating teacher (he’s a few years older and we’re both adults)

That one time we went skating, I held my phone and skated to him, saying I wanted to film the experience, so he must hold my hand and lead me around the ice rink… https://t.co/FYyXGxHm3K"
2025-02-22 18:40:51+00:00,"RT @d_slavica: 💃Thx All Of U🙏For Ur Care🙏I Have A Boring Variant Of The Flu🙄Nose🤧Cough😤Bones Ache😫But It's Great That I Have More Time To ""…"
2025-02-22 18:40:43+00:00,@TrumpRealDaily Well.  Not really. There are certain childhood vaccines that need to continue.  The epidemic of measles and whooping cough are examples. Of course. These could be illegal immigrant children
2025-02-22 18:40:40+00:00,RT @Mr_Md33_: If wizkid cough e go enter number one (1). Fifteen [15] years of solid consistency.
2025-02-22 18:40:38+00:00,"@DefiyantlyFree I’ve noticed that he has a persistent cough and wonder about his health. He expresses a fierce determination to inform the world about these hidden facts and dynamics, to stop the war in Ukraine. There’s an intensity in his voice and he sometimes seems almost close to tears."
2025-02-22 18:40:37+00:00,"$MONAD whitelisting has started! ➡️https://t.co/sc3onGoMEw🔗

@najnsjsj #4cN8oL0 @JazzyPhae23 @jayk_6 @TorsadeDe @jfgaspar @vvvirtt @tife_dairo @hash_cough"
2025-02-22 18:40:18+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:40:07+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:39:59+00:00,RT @Usesaitapro2: @WigRacers @e_elon007 #Crypto #cryptocurrency #CryptoInvestor #CryptoNews #cryptonewsnow #FOF #HIVE #cryptonewspoint #STC…
2025-02-22 18:39:47+00:00,RT @Cross3d0ut: Cough cough sniffle cough 💔💔💔💔 https://t.co/qgTeXf5HrG
2025-02-22 18:39:44+00:00,"RT @Relaks1404: I went to see doctor just for cough 🤒
But he insisted to check my prostate 🙄
#sissy #sissycaption #sissyslut #femboy #cross…"
2025-02-22 18:39:42+00:00,Hey guys. Curious. When I take too big a dab. I cough sometimes and it tastes like metal. Bad times?
2025-02-22 18:39:33+00:00,@davido OBA ORINNNNN KINGGG OF GOOD MUSIC I HAIL THEE GREAT ONE !!!!! 🔥🔥🙌🏿 EVEN IF YOU COUGH WE GO STREAM BABA MI OWO MEJI FUN EYAN KANNN 10 MAN IN 1 BODYY MAKE DEM GBAGBE FOR MY CHAIRMAN OOOO 🔥🔥🔥🔥
2025-02-22 18:39:24+00:00,This cough I have is so brutal
2025-02-22 18:39:08+00:00,"The World could fall apart ,people killed. But there will always be an actor making a Movie (cough) Documentary.
😢 https://t.co/lvMFsttx4A"
2025-02-22 18:39:05+00:00,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/MYQKgbkCJ7

iOCDj @DiverseAgendas @ahem_cough @rautkaranarun @Tyler27446999 @HelpYou8050 @FIfechi74772 @WangariJust @Henryaldana @bigmamamo247 @hardikthak69067 @Pumpfun_CTO"
2025-02-22 18:38:49+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:38:45+00:00,6.5/10 yummy but kinda taste like cough syrup to me https://t.co/MqkrTqp21U
2025-02-22 18:38:37+00:00,"@Coffinof_Leyley *cough* https://t.co/X5dqj3rYY2 *cough*

sorry for the shameless self-promo"
2025-02-22 18:38:34+00:00,"RT @GoddessAkyria: Cough it up, sucker https://t.co/p3Vu0WlGx5"
2025-02-22 18:38:20+00:00,RT @Usesaitapro2: @WigRacers @e_elon007 #Crypto #cryptocurrency #CryptoInvestor #CryptoNews #cryptonewsnow #FOF #HIVE #cryptonewspoint #STC…
2025-02-22 18:38:17+00:00,@DUCKBUTTER003 @Muffin_man11235 @QuantumCamper @wscroggins707 I can but I have a Sore throat and I cough every two seconds
